Format (See below)
PicIndex,31,32,35,36,37,38,19,20,41,42,61,62,59,60,53,54,5,4,3,PupilDiameter,Illuminance
1,3.488985E+002,3.573836E+002,2.098930E+002,2.105554E+002,-3.378989E+002,3.431366E+002,1.006527E+003,1.024000E+003,4.982144E+002,4.947590E+002,5.313316E+002,5.293398E+002,3.177625E+003,3.124751E+003,5.217793E+002,-5.022207E+002,1.510922E+003,6.175754E+002,8.933466E+002,1,3.488985E+002,3.573836E+002,2.098930E+002,2.105554E+002,-3.378989E+002,3.431366E+002,1.006527E+003,1.024000E+003,4.982144E+002,4.947590E+002,5.313316E+002,5.293398E+002,3.177625E+003,3.124751E+003,5.217793E+002,-5.022207E+002,1.510922E+003,6.175754E+002,8.933466E+002,;(off,off);,108.9547

1,3.528799E+002,3.658544E+002,2.106642E+002,2.139441E+002,-3.404005E+002,3.498585E+002,9.854206E+002,1.024000E+003,5.017641E+002,4.979685E+002,5.345757E+002,5.370048E+002,3.195659E+003,3.129056E+003,5.264077E+002,-4.975923E+002,1.498586E+003,6.181515E+002,8.804341E+002,1,3.528799E+002,3.658544E+002,2.106642E+002,2.139441E+002,-3.404005E+002,3.498585E+002,9.854206E+002,1.024000E+003,5.017641E+002,4.979685E+002,5.345757E+002,5.370048E+002,3.195659E+003,3.129056E+003,5.264077E+002,-4.975923E+002,1.498586E+003,6.181515E+002,8.804341E+002,;(off,off);,109.33675

1,3.867955E+002,3.948446E+002,2.097369E+002,2.167558E+002,-3.486479E+002,3.572058E+002,7.846704E+002,1.024000E+003,4.967174E+002,5.070321E+002,5.195418E+002,5.395773E+002,3.216099E+003,3.177343E+003,5.352403E+002,-4.887596E+002,1.594408E+003,6.177060E+002,9.767022E+002,1,3.867955E+002,3.948446E+002,2.097369E+002,2.167558E+002,-3.486479E+002,3.572058E+002,7.846704E+002,1.024000E+003,4.967174E+002,5.070321E+002,5.195418E+002,5.395773E+002,3.216099E+003,3.177343E+003,5.352403E+002,-4.887596E+002,1.594408E+003,6.177060E+002,9.767022E+002,;(off,off);,110.54825

1,3.245943E+002,3.294333E+002,2.064518E+002,2.067272E+002,-3.269835E+002,3.320187E+002,1.007222E+003,1.024000E+003,5.099034E+002,5.066187E+002,5.351776E+002,5.355392E+002,3.276878E+003,3.246634E+003,5.188111E+002,-5.051889E+002,1.596687E+003,6.223781E+002,9.743092E+002,1,3.245943E+002,3.294333E+002,2.064518E+002,2.067272E+002,-3.269835E+002,3.320187E+002,1.007222E+003,1.024000E+003,5.099034E+002,5.066187E+002,5.351776E+002,5.355392E+002,3.276878E+003,3.246634E+003,5.188111E+002,-5.051889E+002,1.596687E+003,6.223781E+002,9.743092E+002,;(off,off);,110.929

1,3.342662E+002,3.488759E+002,2.069894E+002,2.099677E+002,-3.294214E+002,3.413120E+002,9.728618E+002,1.024000E+003,5.049049E+002,5.053472E+002,5.324300E+002,5.367767E+002,3.231610E+003,3.214960E+003,5.180193E+002,-5.059807E+002,1.571910E+003,6.231390E+002,9.487714E+002,1,3.342662E+002,3.488759E+002,2.069894E+002,2.099677E+002,-3.294214E+002,3.413120E+002,9.728618E+002,1.024000E+003,5.049049E+002,5.053472E+002,5.324300E+002,5.367767E+002,3.231610E+003,3.214960E+003,5.180193E+002,-5.059807E+002,1.571910E+003,6.231390E+002,9.487714E+002,;(off,off);,110.4805

